Category,Short Name,Variable Code,Question,Include,Rationale
Demographics,respondent_id,NFCSIS,Respondent id.,,
Demographics,state,STATEQ,State code. ,,
Demographics,census_division,CENSUSDIV,Census division.,,
Demographics,census_region,CENSUSREG,Census region.,,
Demographics,gender,A50A,Gender.,,
Demographics,age_group,A3Ar_w,Age group.,,
Demographics,gender_age,A50B,Gender age combined.,,
Demographics,ethnicity,A4A_new_w,Ethnicity.,,
Demographics,highest_education_level,A5_2015,What was the highest level of education that you completed?,,
Demographics,marital_status,A6,What is your marital status?,,
Demographics,current_living_arrangement,A7,Which of the following describes your current living arrangements?,,
Demographics,marital_status_var,A7A,Marital status variable.,,
Demographics,number_dependents,A11,How many children do you have who are financially dependent on you or your spouse/partner?,,
Income,annual_income,A8_2021,"What is your household's approximate annual income, including wages, tips, investment income, public assistance, income from retirement plans, etc?",High,Higher income correlates with savings capacity.
Demographics,military_status,AM21,"Have you ever been a member of the US Armed Services, either in the active or reserve component?",,
,,X3,,,
Employment,employment_status,A9,Which of the following best describes your current employment or work status?,High,Unemployed individuals less likely to have an emergency fund.
Employment,other_work_status,A40,"In addition to your main employment, did you also do or did you also do any other work for pay in the last 12 months?",,
Employment,spouse_employmentr_status,A10,Which of the following best describes your spouse's/partner's current employment or work status?,High,Unemployed individuals less likely to have an emergency fund.
Employment,,A10A,Household retirement status,,
Employment,part_time_student,A21_2015,Are you a part-time student taking courses for credit?,,
,,A14,"Who in the household is most knowledgeable about saving, investing and debt?",,
Demographics,parent_highest_education_level,A41,What was the highest level of education completed by the person or any of the people who raised you?,,
Financial Behavior & Decision-Making,satisfaction_financial_condition,J1,"Overall, thinking of your assets, debts and savings, how satisfied are you with your current personal financial condition?",,
Financial Behavior & Decision-Making,risk_tolerance,J2,"When thinking of your financial investments, how willing are you to take risks?",,
Financial Behavior & Decision-Making,spending_vs_income,J3,"Over the past year, would you say your household's spending was less than, more than, or about equal to your household's income?",,
Financial Behavior & Decision-Making,,J4,"In a typical month, how difficult is it for you to cover your expenses and pay all your bills?",,
Income,,J40,"In the past 12 months, which of the following best describes your and your spouse's/partner's income?",,
Financial Behavior & Decision-Making,,J5,"Have you set aside emergency or rainy day funds that would cover your expenses for 3 months, in case of sickness, job loss, economic downturn, or other emergencies?",,
Financial Behavior & Decision-Making,,J6,Are you setting aside any money for your children's college education?,,
Financial Behavior & Decision-Making,,J8,Have you ever tried to figure out how much you need to save for retirement?,,
Financial Behavior & Decision-Making,,J9,"Before you, and your spouse/partner retired, did you try to figure out how much you needed to save for retirement?",,
Income,,J10,"In the past 12 months, have you or your household experienced a large drop in income which you did not expect?",,
Financial Behavior & Decision-Making,,J20,"How confident are you that you could come up with $2,000 if an unexpected need arose within the next month?",,
Income,,J50,Did you receive pandemic-related stimulus payment from the federal government in 2021?,,
Income,,J51_1,What did you use the money for?  Made purchases or paid bills.,,
Income,,J51_2,Paid down debt.,,
Income,,J51_3,Added to savings.,,
Income,,J51_4,Invested in the stock market.,,
Income,,J51_5,Donated to individuals or organizations.,,
Income,,J51_6,Other.,,
Income,,J51_98,Don’t know.,,
Income,,J51_99,Prefer not to say.,,
Employment,,J52,"As a result of the pandemic, were you laid off or furloughed at any time in 2020 or 2021?",,
Credit & Banking Access,,J32,How would you rate your current credit record?,,
Financial Behavior & Decision-Making,,J33_40,How strongly do you agree or disagree with the following statements? Thinking about my personal finances can make me feel anxious.,,
Financial Behavior & Decision-Making,,J53,How often do you think about your personal financial condition?,,
Financial Behavior & Decision-Making,,J41_1,"How well do these statements describe you or your situation?  Because of my situation, I feel like I will never have the things I want in life.",,
Financial Behavior & Decision-Making,,J41_2,I am just getting by financially.,,
Financial Behavior & Decision-Making,,J41_3,I am concerned that the money I have or save won't last.,,
Financial Behavior & Decision-Making,,J42_1,How often do these statements apply to you?  I have money left over at the end of the month.,,
Financial Behavior & Decision-Making,,J42_2,My finances control my life.,,
Financial Behavior & Decision-Making,,J43,"If you were to set a financial goal for yourself today, how confident are you in your ability to achieve it?",,
Credit & Banking Access,,B1,Do you or does your household have a checking account?,,
Credit & Banking Access,,B2,"Do you or does your household have a savings account, money market account or CDs?",,
Credit & Banking Access,,B4,Do you or your spouse/partner overdraw your checking account occasionally?,,
Credit & Banking Access,,B41_1,How often do you access your checking or savings account in the following ways?  Online banking with a laptop or desktop computer.,,
Credit & Banking Access,,B41_2,"Mobile banking with text messaging, mobile app, or internet browser or email on a phone app.",,
Credit & Banking Access,,B31,"How often do you use your mobile phone to pay for a product or service in person at a store, gas station, or restaurant (e.g. by waving or tapping your mobile phone over a sensor at checkout, scanning a barcode ort QR code using your mobile phone?",,
Credit & Banking Access,,B42,How often do you use your mobile phone to transfer money to another person?,,
